PSDB | CANDIDATO | ALVARO FERNANDES DIAS | 20568775000175,4101848,0.00304165273993255289
PMDB | CANDIDATO | MARCELO BELTRAO DE ALMEIDA | 20572520000186,465263,0.00038774959716632236
PC do B | CANDIDATO | RICARDO CRACHINESKI GOMYDE | 20573064000199,666438,0.00003911059015095191
PRP | CANDIDATO | MAURI VIANA PEREIRA | 20576643000195,18073,0.00000949023986696998
PRTB | CANDIDATO | ADILSON DOS SANTOS SILVA | 20578889000104,15720,0.00000000000000000000
PSOL | CANDIDATO | LUIZ ROMEIRO PIVA | 20559460000161,50905,0.00000000000000000000
PTC | CANDIDATO | LUIZ ANTONIO BARBARA | 20581730000130,0,0.00000000000000000000
