PSDB | CANDIDATO | ALVARO FERNANDES DIAS | 20568775000175,4101848,0.01489581413303762633
PRP | CANDIDATO | MAURI VIANA PEREIRA | 20576643000195,18073,0.01186052976562577271
PMDB | CANDIDATO | MARCELO BELTRAO DE ALMEIDA | 20572520000186,465263,0.01045576091498031171
PC do B | CANDIDATO | RICARDO CRACHINESKI GOMYDE | 20573064000199,666438,0.00818068300600718543
PRTB | CANDIDATO | ADILSON DOS SANTOS SILVA | 20578889000104,15720,0.00000000000000000000
PTC | CANDIDATO | LUIZ ANTONIO BARBARA | 20581730000130,0,0.00000000000000000000
PSOL | CANDIDATO | LUIZ ROMEIRO PIVA | 20559460000161,50905,0.00000000000000000000
