PTN | CANDIDATO | SÉRGIO COSTA XAVIER | 20614217000107,96,0.00341625354783277498
PTN | CANDIDATO | PAULO CESAR CHAVES FERREIRA | 20604100000134,444,0.00341625354783277411
PTN | CANDIDATO | NERI TAVARES DA SILVA | 20576511000163,247,0.00341625354783277411
PTN | CANDIDATO | DIRCEU RAMOS | 20604121000150,462,0.00341625354783277324
PDT | CANDIDATO | NELSON LAURO LUERSEN | 20576592000100,37316,0.00293582216899835290
PRB | CANDIDATO | NIVON CARLOS DO NASCIMENTO | 20576479000116,557,0.00281491692065735308
PTN | CANDIDATO | CÂNDIDO DE MATOS GOMES | 20604091000181,1041,0.00281491692065735178
PDT | CANDIDATO | EDSON WILLIANS | 20576712000160,377,0.00278032409838884680
PDT | CANDIDATO | JOAQUIM DONIZETI DO CARMO | 20576421000172,2742,0.00276692485917576008
PC do B | CANDIDATO | COSME SENA RAMOS | 20642924000107,163,0.00263664813241065157
PDT | CANDIDATO | JOSE CASTORINO MACHADO FILHO | 20576578000106,166,0.00259927296558524210
PC do B | CANDIDATO | CELIO LEANDRO RODRIGUES | 20576961000156,0,0.00251152021039353131
PDT | CANDIDATO | MARLY PAULINO FAGUNDES | 20576749000199,34293,0.00234069817331364815
PT | CANDIDATO | TANIA FATIMA CALVI TAIT | 20576537000101,891,0.00233777331732066369
PC do B | CANDIDATO | CLAUDIO CESAR CASAGRANDE | 20576962000109,4840,0.00206388583560568458
PDT | CANDIDATO | MARIA NYSA MOREIRA NANNI | 20576312000155,1651,0.00181971704340751174
PT | CANDIDATO | JOÃO NORBERTO DE SOUZA | 20576493000110,1967,0.00171828689041489272
PT | CANDIDATO | DIEMERSON ROMERO CASTILHO | 20576942000120,3514,0.00119720244264685609
PDT | CANDIDATO | DANIEL ALBERTO CORREA | 20576912000113,56,0.00116494026468806308
PT | CANDIDATO | ALECSANDRO DE ANDRADE CAVALCANTE | 20576080000135,0,0.00089832354225429412
PDT | CANDIDATO | BIANCA TIBAES DE OLIVEIRA PORTUGAL | 20576183000103,460,0.00085914344520744614
PMDB | CANDIDATO | JONAS GUIMARÃES | 20570441000136,40139,0.00072257079399513913
PDT | CANDIDATO | JURANDIR JURA PINTO ROSA | 20576713000105,564,0.00057300609362209004
PPL | CANDIDATO | MARCIO JOSE PACHECO RAMOS | 20569035000153,24855,0.00034466671042192478
PSD | CANDIDATO | FRANCISCO LACERDA BRASILEIRO | 20577729000132,50930,0.00029229874354347096
PTN | CANDIDATO | MARGARETH APARECIDA DORANEM | 20604145000109,18,0.00011259667682629417
PTN | CANDIDATO | HAROLDO GUARNERI JUNIOR | 20604144000164,6,0.00011259667682629373
PTN | CANDIDATO | JOCELIA CLAUDIA GUARNERI | 20604099000148,14,0.00011259667682629243
PTN | CANDIDATO | SOLANGE DOS SANTOS VIEIRA | 20576792000154,0,0.00011259667682628896
PTN | CANDIDATO | ALCIONE MENINO DOS SANTOS | 20632459000115,51,0.00011259667682628896
PSD | CANDIDATO | MARLA APARECIDA TURECK DINIZ | 20578022000140,16395,0.00006368113545130554
PDT | CANDIDATO | ANTONIO FERNANDO SCANAVACCA | 20576319000177,35905,0.00000783753708621590
PR | CANDIDATO | FRANCISCO OCTAVIO BECKERT | 20570872000100,18287,0.00000267970313369906
PSDB | CANDIDATO | MAURO RAFAEL MORAES E SILVA | 20570863000101,49925,0.00000117847122973504
PSDB | CANDIDATO | JOSÉ DIRCEU DE MATOS | 20570939000107,4479,0.00000106538499547275
PDT | CANDIDATO | JOSE EDEGAR PEREIRA | 20576323000135,3598,0.00000084959496877025
PSB | CANDIDATO | JOSÉ GILBERTO DO CARMO ALVES RIBEIRO | 20572131000150,76110,0.00000083470664826585
PROS | CANDIDATO | LEÔNIDAS EDSON KUZMA | 20573425000105,19154,0.00000080334631762623
PSC | CANDIDATO | JOSE ANTONIO CAMARGO | 20566605000151,12688,0.00000077756992987281
PRP | CANDIDATO | MARCIO AURELIO VIEIRA DA COSTA | 20576905000111,4597,0.00000072705159508656
PSC | CANDIDATO | ANTONIO BENEDITO FENELON | 20566874000118,22929,0.00000068250821354688
PSB | CANDIDATO | JOSÉ TIAGO CAMARGO DO AMARAL | 20569621000106,86390,0.00000056593076928728
PSB | CANDIDATO | RUI KIYOSHI HARA | 20571237000130,19039,0.00000052847978338714
PSC | CANDIDATO | ALEXANDRE MARCEL KUSTER GUIMARÃES | 20568628000103,24357,0.00000037641801598843
PSC | CANDIDATO | LEONALDO PARANHOS DA SILVA | 20572143000185,69684,0.00000031770287509288
PSDB | CANDIDATO | LUIZ ROBERTO ACCORSI MOTTA | 20571299000141,37224,0.00000031362439115168
PSD | CANDIDATO | RUBENS RECALCATTI | 20578294000140,40358,0.00000030145793426155
PSC | CANDIDATO | WALDIR TURCHETTI DA COSTA LEITE | 20571912000120,10750,0.00000028938043409622
PSDB | CANDIDATO | ADEMAR LUIZ TRAIANO | 20570653000113,69740,0.00000027954038954274
DEM | CANDIDATO | PLAUTO MIRÓ GUIMARÃES FILHO | 20572133000140,63959,0.00000027034984841252
PP | CANDIDATO | CLAYTON COSTA ROSA | 20568744000114,5496,0.00000025627551467755
PSC | CANDIDATO | ANTONIO BORGES DOS REIS | 20566409000187,3260,0.00000024190315802515
PMN | CANDIDATO | MANOEL BATISTA DA SILVA JUNIOR | 20573211000120,62707,0.00000024057037582002
PSB | CANDIDATO | WILSON LUIZ DARIENZO QUINTEIRO | 20573194000121,41195,0.00000023227204097587
PTB | CANDIDATO | CARLOS ROBERTO FRISOLI | 20576768000115,9756,0.00000023204038678178
PSDB | CANDIDATO | MARILEI DE SOUZA LIMA | 20572342000193,43549,0.00000022888954672416
PTB | CANDIDATO | SEBASTIÃO HENRIQUE DE MEDEIROS | 20576163000124,31875,0.00000021792497770148
PDT | CANDIDATO | MAICON GUEDES HUGO | 20577012000190,993,0.00000021565288441366
PSC | CANDIDATO | GILSON DE SOUZA | 20566614000142,34470,0.00000021480665480492
PSDC | CANDIDATO | AGENOR DA SILVA PEREIRA | 20577025000160,7746,0.00000020893014771647
SD | CANDIDATO | LUIS FELIPE BONATTO FRANCISCHINI | 20574098000106,35842,0.00000020520942198938
PPS | CANDIDATO | SILVIO APARECIDO LINDES | 20572704000146,4892,0.00000019963050237534
PHS | CANDIDATO | KELLY SUSEL MENEGARI OLIVEIRA SANTOS | 20569466000110,1006,0.00000019886917544199
PSDB | CANDIDATO | PAULO HENRIQUE COLETTI FERNANDES | 20569792000127,60918,0.00000019230972653998
PSC | CANDIDATO | RICARDO ARRUDA NUNES | 20564263000130,23592,0.00000019087523968082
PSB | CANDIDATO | PAULO ENÉAS BORGES BUENO NETTO | 20570861000112,529,0.00000018522427999539
PTB | CANDIDATO | MAURO BERTOLI | 20576671000102,6846,0.00000018379828591042
PSD | CANDIDATO | EMILIANO AUGUSTO ROCHA GOMES | 20578322000120,15013,0.00000018203732191080
PMN | CANDIDATO | GEORGE LUIZ DE OLIVEIRA | 20572849000147,11694,0.00000018050835116912
PSD | CANDIDATO | JOEL MELO CORDEIRO | 20577872000124,6088,0.00000017346564898206
DEM | CANDIDATO | ELIO LINO RUSCH | 20570726000177,54993,0.00000016664948305004
PSDB | CANDIDATO | BERNARDO GUIMARAES RIBAS CARLI | 20569670000130,55481,0.00000016279738989083
PSC | CANDIDATO | HUSSEIN BAKRI | 20567237000166,26682,0.00000016027257638412
PSC | CANDIDATO | CLAUDIA VANESSA DE SOUZA FONTOURA PEREIRA | 20564036000105,29379,0.00000015781712773901
PSL | CANDIDATO | ADELINO RIBEIRO SILVA | 20577733000109,42924,0.00000015609716365805
PSC | CANDIDATO | JONATAS FELISBERTO DA SILVA | 20567454000156,20544,0.00000015558192093239
PSB | CANDIDATO | NILTON CAMARGO COSTA | 20569754000174,1819,0.00000015134729820267
PSB | CANDIDATO | GUILHERME DE MAGALHÃES SPANGUEMBERG | 20569140000192,4617,0.00000014828966973281
PSDC | CANDIDATO | FERNANDO JOSÉ RODRIGUES DE OLIVEIRA | 20577775000131,5917,0.00000014802540205822
PR | CANDIDATO | HEMERSON YUKIO YOKOTA | 20609029000182,18214,0.00000014757846383655
PSB | CANDIDATO | EUNICE DIAS DE OLIVEIRA | 20573394000184,375,0.00000014711267547901
PSD | CANDIDATO | JOAO EDUARDO PASQUINI | 20574583000171,24908,0.00000014517622155125
PSC | CANDIDATO | ELCIO JAIME DA LUZ | 20568381000117,17968,0.00000014364129900281
PPS | CANDIDATO | ARMANDO DIADOSK | 20571926000144,696,0.00000014115409079692
PR | CANDIDATO | HILTON SANTIN ROVEDA | 20569286000138,19725,0.00000013911394366930
PSD | CANDIDATO | MARI LUCIA STOCO ULSON | 20574400000118,9524,0.00000013911394366323
PSDB | CANDIDATO | JOSÉ FRANCISCO BUHRER | 20571486000125,50757,0.00000013898761758689
PSC | CANDIDATO | OSMAR LOPES FERREIRA | 20565223000103,7131,0.00000013799151214050
PP | CANDIDATO | GESSANI DA SILVA | 20573323000181,16938,0.00000013731877640533
PSC | CANDIDATO | EVANDRO JOSE DA CRUZ ARAUJO | 20570327000106,23233,0.00000013713514825792
PPS | CANDIDATO | ALDAIR TARCISIO RIZZI | 20570515000134,5010,0.00000013077622839405
PSB | CANDIDATO | NELSON DA ROCHA | 20570360000136,1289,0.00000013017418458786
PSB | CANDIDATO | MILTON ANTONIO OLIVEIRA DIGIACOMO | 20572481000117,655,0.00000013017418458612
PPS | CANDIDATO | TERCILIO LUIZ TURINI | 20570721000144,47023,0.00000012993935224331
PPS | CANDIDATO | DIOGO NASCIMENTO BUSSE | 20569446000149,13810,0.00000012818201630162
PPS | CANDIDATO | NELSON LOPES DE FREITAS | 20571479000123,1335,0.00000012789564813893
PSD | CANDIDATO | LUIZ CARLOS MARTINS GONÇALVES | 20577313000114,40368,0.00000012503257055315
PTB | CANDIDATO | VANDER PIAIA | 20576510000119,4574,0.00000011965516464024
PSDB | CANDIDATO | JOÃO GALDINO DE SOUZA | 20569529000138,14574,0.00000011919566034885
PSDB | CANDIDATO | OMAR SABBAG FILHO | 20571096000155,7963,0.00000011914397202249
PSL | CANDIDATO | ISRAEL DIAS BORBOREMA | 20660928000100,385,0.00000011720112564131
PSB | CANDIDATO | CONCEIÇÃO APARECIDA MENDES | 20570160000183,185,0.00000011652928914429
PSDC | CANDIDATO | NELSON SILVA DE LIZ | 20622904000166,531,0.00000011596285527963
PSC | CANDIDATO | LUIZ AUGUSTO SILVA | 20614126000163,45313,0.00000011474334552040
PSDC | CANDIDATO | EDELVIRA GOIS RAMOS | 20622992000104,63,0.00000011466135001192
PSDC | CANDIDATO | PAULO DA ROSA | 20576921000104,233,0.00000011466135000845
PSDC | CANDIDATO | JURANDI PEREIRA | 20580849000199,386,0.00000011466135000845
PEN | CANDIDATO | LEVI PEREIRA DA SILVA | 20579622000123,1972,0.00000010523696187831
PSD | CANDIDATO | NEY LEPREVOST NETO | 20578031000131,71470,0.00000010213465023376
PSDC | CANDIDATO | APARECIDO HERNANDEZ DEL MAZO | 20622972000125,276,0.00000010053182552226
PSDC | CANDIDATO | MIGUEL SANTOS DE PAULA | 20580463000187,135,0.00000009868403125397
PSDC | CANDIDATO | LEONICE MOTTA VIEIRA | 20576587000199,553,0.00000009865682868739
PSDC | CANDIDATO | LOURIVAL BATISTA | 20577887000192,555,0.00000009865682868392
PSDC | CANDIDATO | ENEAS DOS SANTOS ARAÚJO | 20576028000189,173,0.00000009865682868131
PSDC | CANDIDATO | JOÃO ROCHA DE SOUZA | 20580905000195,458,0.00000009865682868066
PSDC | CANDIDATO | MARILEIDE APARECIDA MARTINS NOVAK | 20580203000101,0,0.00000009865682868045
PSDC | CANDIDATO | CENIRA TRINDADE DOS SANTOS | 20622966000178,248,0.00000009865682868001
PSDC | CANDIDATO | JOSIEL DE SOUZA LIMA | 20576085000168,180,0.00000009865682867958
PC do B | CANDIDATO | MARCELO ELISIO RIBEIRO SANTIN | 20576221000110,598,0.00000009838649811045
PSC | CANDIDATO | MARCIO FERNANDO NUNES | 20567306000131,45105,0.00000009803802624971
PSDC | CANDIDATO | VANDERLEI DONIZETE RODRIGUES | 20576700000136,1474,0.00000009781831189146
PP | CANDIDATO | DENISE MARIA SCHEFER | 20573335000106,494,0.00000009458865850211
PEN | CANDIDATO | ADAIR FERREIRA DE ALMEIDA | 20576271000105,389,0.00000009394463462188
DEM | CANDIDATO | SABINO PICOLO | 20570862000167,23296,0.00000009243548262320
DEM | CANDIDATO | MARIA IRACLÉZIA DE ARAUJO | 20571971000107,6138,0.00000009069784536082
PR | CANDIDATO | JOSE ROQUE NETO | 20569390000122,6660,0.00000008742920510870
PPS | CANDIDATO | RUI CAPELÃO CARDOSO | 20742970000170,0,0.00000008712933381380
PPS | CANDIDATO | EDILSON FERNANDES | 20633816000160,2409,0.00000008583862609948
PPS | CANDIDATO | ALEXANDRO REGINALDO ALVES MILDEMBERGER | 20573395000129,1059,0.00000008543819425468
PSC | CANDIDATO | JOÃO IVO CALEFFI | 20571692000135,3441,0.00000008496136654976
PPS | CANDIDATO | MONICA MARIA COSER | 20569103000184,1362,0.00000008488537408050
PPS | CANDIDATO | SONIA BRUSCH | 20572118000100,1933,0.00000008484421282207
PTB | CANDIDATO | FERNANDO MADUREIRA DA SILVA | 20576846000181,10067,0.00000008426645883852
PPS | CANDIDATO | ELISSANDRO DA SILVA BUENO | 20573590000159,608,0.00000008411414908344
PPS | CANDIDATO | EDVIN PIO RIGOTTI | 20570490000179,1347,0.00000008408473795712
PSC | CANDIDATO | LUIZ EDUARDO CASAGRANDE | 20570700000129,3328,0.00000008401340973949
PTB | CANDIDATO | FRANCISCO GOMES DOS SANTOS | 20576679000179,4102,0.00000008394356754843
PSDC | CANDIDATO | ELTON ANDRE WINK TECCHIO | 20576188000128,385,0.00000008389940746745
PPS | CANDIDATO | SERGIO LUIZ CASTILHO DAITSCHMAN | 20571291000185,885,0.00000008389138706454
PTB | CANDIDATO | SAMIR FOUANI | 20577007000188,1941,0.00000008382358946215
PSC | CANDIDATO | TÉTIS MARISA BELMONTE DA CRUZ | 20571213000180,1920,0.00000008368536430318
PPS | CANDIDATO | DIRCEU CHELIGA | 20572113000179,457,0.00000008352919453163
PPS | CANDIDATO | RENATO BAGGIO BERBICZ | 20569029000104,3175,0.00000008335400294469
PPS | CANDIDATO | VOLMIR DE JESUS GONÇALVES | 20633810000192,331,0.00000008333489966324
PSL | CANDIDATO | ANTONIO APARECIDO DAMAZO | 20572906000198,1220,0.00000008329447744818
PSC | CANDIDATO | CLOVIS JOSE GUGELMIN DISTEFANO | 20567557000116,11207,0.00000008324165354408
PPS | CANDIDATO | NELSON FERREIRA | 20573035000127,418,0.00000008321002938766
PSC | CANDIDATO | ARNOLDO BULLE | 20567994000130,686,0.00000008320555338302
PPS | CANDIDATO | MARIA ALICE MACIEL FIGUEIREDO | 20570372000160,61,0.00000008309138424881
PSL | CANDIDATO | LEVI SERGIO | 20572617000199,808,0.00000008308354773178
DEM | CANDIDATO | LUIZ AUGUSTO PINHO DE QUEIROGA | 20573258000194,10350,0.00000008299471845885
PPS | CANDIDATO | GERSON DO AMARAL | 20573587000135,117,0.00000008297038320108
PPS | CANDIDATO | HARDY GUEDES ALCOFORADO FILHO | 20569511000136,386,0.00000008297038319892
PPS | CANDIDATO | GISELE REGINA ADAMOWICZ REBELLO | 20573166000104,77,0.00000008290244501476
PPS | CANDIDATO | MARCIA REGINA SAAD DO NASCIMENTO | 20572487000194,172,0.00000008286756415961
PPS | CANDIDATO | LUIZ HENRIQUE BERLITZ | 20572223000130,144,0.00000008285056010595
PPS | CANDIDATO | EDGAR FERREIRA FERRAZ NETO | 20569111000120,94,0.00000008285056010519
PSC | CANDIDATO | EDERSON JUNIOR SANTOS ROSA | 20564427000120,8250,0.00000008284191431278
PPS | CANDIDATO | ROSELIA APARECIDA ELBL VANAT | 20577853000106,599,0.00000008282419903215
PPS | CANDIDATO | ROSILENE DO NASCIMENTO ANTUNES | 20569300000101,240,0.00000008277364195106
PPS | CANDIDATO | VERONI FRIEDRICH | 20579032000109,338,0.00000008275143373489
PPS | CANDIDATO | CACILDA DE FATIMA DE MORAES NUNES | 20572456000133,290,0.00000008275143373055
PMN | CANDIDATO | JOSÉ APARECIDO DA ROCHA | 20605112000183,263,0.00000008273716481204
PPS | CANDIDATO | JOAO MARIA FOGACA | 20571230000118,71,0.00000008267175766706
PTB | CANDIDATO | MARCO ANTONIO BOGAS DE OLIVEIRA | 20698384000175,722,0.00000008266070044205
PSDB | CANDIDATO | ELIETE FERRAZ SABINO | 20571730000150,99,0.00000008265348718298
PSC | CANDIDATO | CLEONICE WAGNER NEGRÃO | 20573191000198,335,0.00000008265314666131
PSL | CANDIDATO | SEBASTIAO CANDIDO DA SILVA | 20571094000166,101,0.00000008265314665676
PTB | CANDIDATO | NELSI COGUETTO MARIA | 20576470000105,26263,0.00000008265230735938
PTB | CANDIDATO | AMAURI DOLENGA DOS SANTOS | 20576830000179,6772,0.00000008265230735938
PEN | CANDIDATO | MARCUS VENICIUS MESQUITA PIRES | 20579914000166,341,0.00000008265230735764
SD | CANDIDATO | MARCELO JOSÉ FRANCEZ | 20574694000188,312,0.00000008265230735591
PSL | CANDIDATO | SUELI TEREZINHA TORTURA | 20572231000187,142,0.00000008265230735591
PSDB | CANDIDATO | MARIO SERGIO BRADOCK ZACHESKI | 20604789000105,10575,0.00000008265230735591
PTB | CANDIDATO | SEDENIR DE PAULO MESQUITA | 20576858000106,983,0.00000008265230735591
PSC | CANDIDATO | ALBINO SILVA TRAMUJAS | 20564813000111,838,0.00000008265230735591
PSC | CANDIDATO | ADAUTO FORNAZIERI | 20609656000113,4177,0.00000008265230735591
PSDB | CANDIDATO | UDO SCHMIDT NETO | 20572619000188,4151,0.00000008265230735504
PSDB | CANDIDATO | RÔMULO JOSÉ CARVALHO COSTA PALES | 20569665000128,75,0.00000008265230735504
PSD | CANDIDATO | ANTONIO CARLOS SPERANDIO | 20574025000106,204,0.00000008265230735504
PSDC | CANDIDATO | RENALDO DA ROCHA CRUZ | 20577017000113,730,0.00000008265230735504
