PTB | CANDIDATO | EFRAIM BUENO DE MORAES | 20576678000124,24910,0.00228370663153271885
PV | CANDIDATO | MARCELO ELIAS ROQUE | 20573405000126,18273,0.00210803689064558656
PSC | CANDIDATO | NELSON PADOVANI | 20569187000156,75519,0.00210803689064558656
PTB | CANDIDATO | JANAINA VANESSA DE CAMPOS SCHNEIDER | 20577004000144,3802,0.00202020202020202020
DEM | CANDIDATO | OSMAR STUART BERTOLDI | 20572846000103,81789,0.00202020202020202020
PSC | CANDIDATO | SERGIO PAULO DE OLIVEIRA | 20566971000100,58924,0.00193236714975845427
PSDB | CANDIDATO | LUIZ FELIPE GUBERT BRAGA CORTES | 20572404000167,23119,0.00193236714975845427
PTB | CANDIDATO | PIETRO ARNAUD SANTOS DA SILVA | 20576172000115,5058,0.00193236714975845427
PDT | CANDIDATO | JOSE BAKA FILHO | 20573943000110,0,0.00184453227931488813
SD | CANDIDATO | JOSÉ APARECIDO GOTARDO | 20572678000156,5806,0.00184453227931488813
PC do B | CANDIDATO | ALIEL MACHADO BARK | 20574068000191,82886,0.00175669740887132199
PV | CANDIDATO | MARIO HITOSHI NETO TAKAHASHI | 20569239000194,12634,0.00166886253842775585
PP | CANDIDATO | NELSON MEURER | 20568839000138,106478,0.00158102766798418992
PSC | CANDIDATO | PAULO EDUARDO LIMA MARTINS | 20565964000194,63970,0.00158102766798418992
PP | CANDIDATO | DILCEU JOÃO SPERAFICO | 20570190000190,151930,0.00149319279754062378
PSD | CANDIDATO | RICARDO APARECIDO MAIA KOTSIFAS | 20566585000119,6922,0.00149319279754062378
PT | CANDIDATO | ASSIS MIGUEL DO COUTO | 20571678000131,76116,0.00140535792709705763
SD | CANDIDATO | NELSON SILVA DE SOUZA | 20573486000164,0,0.00140535792709705763
PSD | CANDIDATO | FERNANDO AUGUSTO VICENTINE | 20572033000113,4201,0.00140535792709705763
PSC | CANDIDATO | MARISA LOBO FRANCO FERREIRA ALVES | 20569486000190,14902,0.00131752305665349149
PSC | CANDIDATO | OSNI DE FREITAS MENEZES | 20567123000116,6648,0.00131752305665349149
PSDB | CANDIDATO | PAULO ROSENMANN | 20569228000104,4590,0.00131752305665349149
PSB | CANDIDATO | JOSÉ DOMINGOS SCARPELINI | 20570673000194,19222,0.00105401844532279328
PMDB | CANDIDATO | ANDRE ZACHAROW | 20570113000130,19268,0.00105401844532279328
PSB | CANDIDATO | RAFAEL FELIPE LUCAS | 20573913000104,11235,0.00105401844532279328
PTB | CANDIDATO | JOSE RENATO STRAPASSON | 20576457000156,28395,0.00105401844532279328
PV | CANDIDATO | PAULO SALAMUNI | 20571967000130,15482,0.00105401844532279328
PPS | CANDIDATO | RUBENS BUENO | 20565467000196,95841,0.00105401844532279328
PSB | CANDIDATO | PAULO RICARDO DA ROCHA | 20574525000148,6246,0.00105401844532279328
PSDC | CANDIDATO | GILSON CARDOSO FAHUR | 20576683000137,50608,0.00105401844532279328
PSB | CANDIDATO | ADALBERTO MARCOS DE ARAUJO | 20797286000195,5508,0.00096618357487922714
PSD | CANDIDATO | EDONY ANTONIO KLUBER | 20571399000178,10215,0.00096618357487922714
DEM | CANDIDATO | PEDRO PIZZATTO | 20569549000109,9076,0.00096618357487922714
PMDB | CANDIDATO | ANTONIO TERUO KATO | 20572428000116,52260,0.00087834870443566099
PDT | CANDIDATO | INES APARECIDA DE PAULA | 20572581000143,10186,0.00087834870443566099
PSC | CANDIDATO | TIAGO BACCIN | 20564380000102,5902,0.00087834870443566099
PSB | CANDIDATO | LUCIANO MARCELO SIMÕES DE BRITO | 20574801000178,7710,0.00087834870443566099
PPL | CANDIDATO | CLAIR DA FLORA MARTINS | 20570449000100,3957,0.00087834870443566099
PTN | CANDIDATO | CHRISTIANE DE SOUZA YARED | 20572117000157,200144,0.00087834870443566099
PSB | CANDIDATO | ELIZABETH SILVEIRA SCHMIDT | 20574301000136,11488,0.00087834870443566099
PTB | CANDIDATO | JANDERSON FLAVIO MANTOVANI | 20576035000180,12262,0.00087834870443566099
PSB | CANDIDATO | ANTONIO GONÇALVES FERREIRA | 20571002000148,4192,0.00079051383399209496
PV | CANDIDATO | ANTONIO OSORIO BUENO DOS SANTOS | 20568746000103,5305,0.00079051383399209496
PSDB | CANDIDATO | EDUARDO FRANCISCO COSTA DE OLIVEIRA | 20572086000134,12511,0.00079051383399209496
PCB | CANDIDATO | SILVANA APARECIDA DE SOUZA | 20572656000196,2030,0.00079051383399209496
PSOL | CANDIDATO | LUIZ FELIPE BERGMANN | 20559414000162,837,0.00070267896354852882
PMDB | CANDIDATO | RAFAEL VALDOMIRO GRECA DE MACEDO | 20570870000103,37457,0.00070267896354852882
PR | CANDIDATO | GASTAO SCHEFER NETO | 20568108000192,23239,0.00070267896354852882
PV | CANDIDATO | CLAUDINO DA SILVA DIAS | 20572402000178,1539,0.00070267896354852882
PV | CANDIDATO | EMERSON LEONEVAL BORGES | 20573361000134,0,0.00061484409310496267
PHS | CANDIDATO | RODRIGO FRANCISCO DOS SANTOS | 20576202000193,431,0.00061484409310496267
PDT | CANDIDATO | DIOMAR FRANCISCO DA SILVA | 20571000000159,200,0.00061484409310496267
PT | CANDIDATO | ANTENOR GOMES DE LIMA | 20572703000100,43608,0.00052700922266139664
PSB | CANDIDATO | ODAIR DO PRADO | 20797233000174,2072,0.00052700922266139664
PTB | CANDIDATO | FABIO ROBERTO DE LIMA SOUZA | 20576558000127,18742,0.00052700922266139664
PHS | CANDIDATO | JULIO CEZAR PACHECO AGNER | 20576581000111,5941,0.00052700922266139664
PDT | CANDIDATO | PAULO ROBERTO COSTA DOS SANTOS | 20574236000149,224,0.00052700922266139664
PRB | CANDIDATO | MARLI VOGT VERNER | 20574618000172,0,0.00052700922266139664
PSB | CANDIDATO | SANDRO ANTONIO OLTRAMARI | 20573099000128,569,0.00052700922266139664
PMDB | CANDIDATO | JORGE AUGUSTO KRUGER | 20573582000102,1667,0.00052700922266139664
PPS | CANDIDATO | MARCELO BIENTINEZ MIRÓ | 20567457000190,3981,0.00052700922266139664
PT | CANDIDATO | IGLE MARIA DOS SANTOS | 20569168000120,4910,0.00052700922266139664
PSDC | CANDIDATO | EMERSON GILBERTO PALHARES | 20578037000109,894,0.00052700922266139664
PT | CANDIDATO | ANTONIA PASSOS DE ARAUJO | 20637453000130,1485,0.00043917435221783050
PSDC | CANDIDATO | ISAAK JOEL PEREIRA ALMEIDA | 20576242000135,1347,0.00043917435221783050
PPS | CANDIDATO | ANA MARIA NACHORNIK | 20566182000170,465,0.00043917435221783050
PSB | CANDIDATO | JOSÉ CARLOS CAMARGO | 20574566000134,9546,0.00043917435221783050
PSB | CANDIDATO | SÉRGIO FANUCCHI | 20574361000159,2170,0.00043917435221783050
PHS | CANDIDATO | EDSON MANOEL DOS SANTOS | 20576669000133,1909,0.00043917435221783050
DEM | CANDIDATO | SERGIO LUIS BELICH | 20573042000129,6510,0.00043917435221783050
PSB | CANDIDATO | MARIA CIRLEIDE DA SILVA | 20574245000130,578,0.00043917435221783050
PTB | CANDIDATO | PEDRO EVANGELISTA DOS SANTOS | 20576422000117,8826,0.00043917435221783050
PSOL | CANDIDATO | VINÍCIUS PRADO ALVES | 20559089000138,946,0.00043917435221783050
PDT | CANDIDATO | VALDEMIR JOSE DE OLIVEIRA | 20574538000117,634,0.00043917435221783050
PV | CANDIDATO | NATANAEL DE FREITAS JUNIOR | 20569546000175,600,0.00043917435221783050
PV | CANDIDATO | JOSE TUROZI | 20570430000156,13190,0.00043917435221783050
PDT | CANDIDATO | PAULO LEONAR FERREIRA AMADOR | 20573983000162,5146,0.00043917435221783050
PSB | CANDIDATO | VALDIR CARLOS FERNANDES | 20797300000150,1589,0.00043917435221783050
PDT | CANDIDATO | JOSE GIULIANGELI DE CASTRO | 20574670000129,4599,0.00043917435221783050
PT | CANDIDATO | CRISTINA FÉLIX DA SILVA | 20569383000120,941,0.00043917435221783050
PV | CANDIDATO | MARIA DE FATIMA SADDOCK PEREIRA | 20572290000155,1188,0.00043917435221783050
PV | CANDIDATO | GILSON SERGIO TESSARO | 20573430000100,747,0.00043917435221783050
PTC | CANDIDATO | JUSSARA JOECKEL | 20581692000116,4752,0.00043917435221783050
PV | CANDIDATO | HILARIO DA SILVA GOMES | 20570027000127,811,0.00043917435221783050
PSB | CANDIDATO | ALFREDO RICARDO PARODI NETO | 20574593000107,426,0.00043917435221783050
PEN | CANDIDATO | SANLAI ARAUJO | 20580904000140,604,0.00043917435221783050
PSB | CANDIDATO | JOÃO BOSCO DOS SANTOS | 20574012000137,2744,0.00043917435221783050
PEN | CANDIDATO | ZELIA SIQUEIRA SZCZOTKA | 20581305000141,320,0.00043917435221783050
PSB | CANDIDATO | RAFAEL CRISTIANO BRUGNEROTTO | 20573562000131,5179,0.00043917435221783050
PSB | CANDIDATO | DIVAL CERANTO | 20574283000192,1841,0.00043917435221783050
PTC | CANDIDATO | JOSE APARECIDO DA SILVA | 20582015000112,2492,0.00043917435221783050
PV | CANDIDATO | LUIZ GONZAGA CAETANO MONEZI | 20568976000172,349,0.00043917435221783050
PDT | CANDIDATO | GISELE DA SILVA COSTA | 20569855000145,826,0.00043917435221783050
PTC | CANDIDATO | EDMILSON CARVALHO VIRIATO | 20581964000188,0,0.00043917435221783050
PSB | CANDIDATO | JOÃO CARLOS DA COSTA | 20574270000113,1882,0.00043917435221783050
PC do B | CANDIDATO | CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA | 20577973000103,602,0.00043917435221783050
PV | CANDIDATO | MOISES DE CAMARGO | 20571700000143,696,0.00035133948177426441
PSB | CANDIDATO | AGNALDO JOSÉ BASTOS JULIO | 20573140000166,10891,0.00035133948177426441
PSB | CANDIDATO | FABIO HENRIQUE DA SILVA | 20632242000105,4901,0.00035133948177426441
PV | CANDIDATO | HELIA SANTOS DE OLIVEIRA | 20571731000102,300,0.00035133948177426441
PV | CANDIDATO | JOSE PEDRO FERREIRA GUIMARAES | 20572278000140,687,0.00035133948177426441
PV | CANDIDATO | JOSIANE DE FATIMA OSSOWSKI RONCHETTI | 20573476000129,177,0.00035133948177426441
PV | CANDIDATO | MANOEL CARLOS MENDES DA SILVA JUNIOR | 20571500000190,314,0.00035133948177426441
PV | CANDIDATO | MAURI MIGUEL | 20571091000122,648,0.00035133948177426441
PHS | CANDIDATO | NILSON LEANDRO DE SOUSA | 20576395000182,1498,0.00035133948177426441
PRB | CANDIDATO | BERNARDINO BARRETO DE OLIVEIRA | 20574479000187,59152,0.00035133948177426441
PHS | CANDIDATO | GEVANILDO LINO | 20576124000127,535,0.00035133948177426441
PSC | CANDIDATO | VIVIAN TEREZINHA MILANI NEIVA DE LIMA RODRIGUES | 20564240000126,271,0.00035133948177426441
PSB | CANDIDATO | MARINETE LINO SANTANA | 20574715000165,3723,0.00035133948177426441
DEM | CANDIDATO | PAULO CEZAR DE CRISTO | 20605137000187,1291,0.00035133948177426441
PV | CANDIDATO | EDNEIA MARIA DA SILVA | 20572115000168,842,0.00035133948177426441
PTC | CANDIDATO | MAURO DA CONCEIÇAO | 20582147000144,217,0.00035133948177426441
PV | CANDIDATO | ROSELI RIBEIRO DE SOUZA | 20668600000130,91,0.00035133948177426441
PPL | CANDIDATO | RAFAEL FERNANDO ZILLI | 20569472000177,564,0.00035133948177426441
PMDB | CANDIDATO | SONIA MARIA BARBOSA BRAGA | 20571481000100,2154,0.00035133948177426441
PV | CANDIDATO | ADRIANA FERREIRA | 20573384000149,2458,0.00035133948177426441
PRB | CANDIDATO | ALEXANDRE PANZARINI FILHO | 20574626000119,549,0.00035133948177426441
PV | CANDIDATO | VERA LUCIA CORACINI ZANELLO | 20570879000114,216,0.00035133948177426441
PV | CANDIDATO | DAVI MORAES DA LUZ | 20569340000145,301,0.00035133948177426441
PSB | CANDIDATO | EDSON STIPP | 20574736000180,3454,0.00035133948177426441
PV | CANDIDATO | CARLOS LEONARDO DE ALBUQUERQUE NOVAES | 20572607000153,322,0.00035133948177426441
PV | CANDIDATO | EUGENIO COVALCHUK PRIMO | 20571406000131,1438,0.00035133948177426441
PV | CANDIDATO | EMERSON FELIX VELOSO | 20573090000117,260,0.00035133948177426441
PDT | CANDIDATO | JOAQUIM THEOPHILO GABRIEL | 20573854000174,353,0.00026350461133069832
PSDC | CANDIDATO | ALBINO SURECK | 20577613000101,606,0.00026350461133069832
PSC | CANDIDATO | ROZANGELA VIDAL DOS SANTOS | 20573484000175,782,0.00026350461133069832
PSB | CANDIDATO | ARLETE MARLI LAGNER | 20574529000126,510,0.00026350461133069832
PSC | CANDIDATO | EUNICE DO CARMO SALLES BINA | 20572362000164,459,0.00026350461133069832
PDT | CANDIDATO | PAOLA VALERIA PALU FIORIN | 20573957000134,999,0.00026350461133069832
PHS | CANDIDATO | ANTONIO CARLOS SIDRIN | 20576789000130,8034,0.00026350461133069832
PTN | CANDIDATO | EZAIAS JONATAS LEMOS | 20604155000144,506,0.00026350461133069832
PTC | CANDIDATO | NATHALIE LOPES MARTINS | 20734192000177,8,0.00026350461133069832
PT | CANDIDATO | JOSÉ CARLOS OLIVEIRA | 20571947000160,719,0.00026350461133069832
PDT | CANDIDATO | PRISCILA RITA ROCHA BANASZEWSKI | 20574054000178,313,0.00026350461133069832
PV | CANDIDATO | ALMEDES MARTINS DE OLIVEIRA | 20569707000120,330,0.00026350461133069832
PSB | CANDIDATO | THIAGO DA SILVA DE JESUS | 20569613000151,3179,0.00026350461133069832
PSDC | CANDIDATO | ANDERSON RAMALHO DOS SANTOS | 20580245000142,683,0.00026350461133069832
PSC | CANDIDATO | CLAUDINEI MESSIAS LEBEDIEFF | 20573311000157,2972,0.00026350461133069832
SD | CANDIDATO | ELIANE DE FÁTIMA SCHIEBEL | 20572895000146,531,0.00026350461133069832
PTB | CANDIDATO | ROSANGELA FERNANDES PESSOA | 20577002000155,192,0.00026350461133069832
PSC | CANDIDATO | PAULO SERGIO VIEIRA | 20786476000107,0,0.00026350461133069832
PSD | CANDIDATO | ADRIANA VILARINHO SALOMÃO COELHO | 20697112000150,1689,0.00026350461133069832
PSB | CANDIDATO | TELMA APARECIDA DOS SANTOS TONI | 20570098000120,595,0.00026350461133069832
