PV | CANDIDATO | MOISES DE CAMARGO | 20571700000143,696,0.00000000000000000000
PSDC | CANDIDATO | ISAAK JOEL PEREIRA ALMEIDA | 20576242000135,1347,0.00000000000000000000
PMDB | CANDIDATO | JOSE ANTONIO DE MELO FILHO | 20569058000168,2440,0.00000000000000000000
PSB | CANDIDATO | ODAIR DO PRADO | 20797233000174,2072,0.00000000000000000000
PSOL | CANDIDATO | GELSON FERREIRA DE SOUZA | 20559095000195,265,0.00000000000000000000
PSB | CANDIDATO | ARLETE MARLI LAGNER | 20574529000126,510,0.00000000000000000000
PSB | CANDIDATO | JOSÉ DOMINGOS SCARPELINI | 20570673000194,19222,0.00000000000000000000
PSD | CANDIDATO | SONIA REGINA WOTKOSKI | 20572702000157,730,0.00000000000000000000
PTB | CANDIDATO | JANAINA VANESSA DE CAMPOS SCHNEIDER | 20577004000144,3802,0.00000000000000000000
PSC | CANDIDATO | EUNICE DO CARMO SALLES BINA | 20572362000164,459,0.00000000000000000000
PSDC | CANDIDATO | ANDREA CARVALHO VELOSO | 20578028000118,672,0.00000000000000000000
PPS | CANDIDATO | VALDIR PIETROBON | 20565267000133,17498,0.00000000000000000000
PSDC | CANDIDATO | MARCIA CLAUDINO DOS SANTOS | 20580293000130,84,0.00000000000000000000
PPS | CANDIDATO | ANA MARIA NACHORNIK | 20566182000170,465,0.00000000000000000000
PRTB | CANDIDATO | ALGACIR MILTON OZIR RIBEIRO | 20573092000106,299,0.00000000000000000000
PSB | CANDIDATO | ANTONIO GONÇALVES FERREIRA | 20571002000148,4192,0.00000000000000000000
PDT | CANDIDATO | FLAVIO VILMAR DA SILVA | 20571149000138,427,0.00000000000000000000
PSDC | CANDIDATO | JANETE DE PAULA COSTA DE ARAÚJO | 20581231000143,769,0.00000000000000000000
PSB | CANDIDATO | JOSÉ CARLOS CAMARGO | 20574566000134,9546,0.00000000000000000000
PDT | CANDIDATO | PAOLA VALERIA PALU FIORIN | 20573957000134,999,0.00000000000000000000
PRTB | CANDIDATO | DIVINO VALDIR DA CRUZ SILVA | 20571107000105,1156,0.00000000000000000000
PHS | CANDIDATO | ANTONIO CARLOS SIDRIN | 20576789000130,8034,0.00000000000000000000
PV | CANDIDATO | JORGE GOMES DE OLIVEIRA BRAND | 20569339000110,13265,0.00000000000000000000
PMDB | CANDIDATO | WILLIAN ANTUNES WENCESLAU BRAZ | 20569595000108,2741,0.00000000000000000000
PSB | CANDIDATO | AGNALDO JOSÉ BASTOS JULIO | 20573140000166,10891,0.00000000000000000000
PTN | CANDIDATO | EZAIAS JONATAS LEMOS | 20604155000144,506,0.00000000000000000000
PSL | CANDIDATO | ALCEU FERREIRA FILHO | 20571720000114,521,0.00000000000000000000
PTC | CANDIDATO | NATHALIE LOPES MARTINS | 20734192000177,8,0.00000000000000000000
PTB | CANDIDATO | FABIO ROBERTO DE LIMA SOUZA | 20576558000127,18742,0.00000000000000000000
PSB | CANDIDATO | FABIO HENRIQUE DA SILVA | 20632242000105,4901,0.00000000000000000000
PHS | CANDIDATO | JULIO CEZAR PACHECO AGNER | 20576581000111,5941,0.00000000000000000000
PTB | CANDIDATO | MARIO APARECIDO DOS SANTOS | 20576594000190,1312,0.00000000000000000000
PTC | CANDIDATO | GILMAR JOSE PIRES | 20581562000183,0,0.00000000000000000000
PT | CANDIDATO | JOSÉ CARLOS OLIVEIRA | 20571947000160,719,0.00000000000000000000
PT | CANDIDATO | ANTONIO ROSNEY CARNEIRO | 20572987000126,1057,0.00000000000000000000
PSB | CANDIDATO | SÉRGIO FANUCCHI | 20574361000159,2170,0.00000000000000000000
PDT | CANDIDATO | PAULO ROBERTO COSTA DOS SANTOS | 20574236000149,224,0.00000000000000000000
PRB | CANDIDATO | MARLI VOGT VERNER | 20574618000172,0,0.00000000000000000000
PSB | CANDIDATO | ADALBERTO MARCOS DE ARAUJO | 20797286000195,5508,0.00000000000000000000
PSC | CANDIDATO | SERGIO PAULO DE OLIVEIRA | 20566971000100,58924,0.00000000000000000000
PSL | CANDIDATO | NAIR LENZ | 20573627000149,4428,0.00000000000000000000
PV | CANDIDATO | HELIA SANTOS DE OLIVEIRA | 20571731000102,300,0.00000000000000000000
PPS | CANDIDATO | MARCOS SOLANO VALE | 20566445000140,2272,0.00000000000000000000
PSC | CANDIDATO | OSNI DE FREITAS MENEZES | 20567123000116,6648,0.00000000000000000000
PV | CANDIDATO | EMERSON LEONEVAL BORGES | 20573361000134,0,0.00000000000000000000
PEN | CANDIDATO | JOÃO JOSE DOS SANTOS | 20581768000103,1344,0.00000000000000000000
PDT | CANDIDATO | PRISCILA RITA ROCHA BANASZEWSKI | 20574054000178,313,0.00000000000000000000
PSOL | CANDIDATO | SIRINEU ZANCHI MEDEIROS DE WITT | 20559542000106,568,0.00000000000000000000
PHS | CANDIDATO | EDSON MANOEL DOS SANTOS | 20576669000133,1909,0.00000000000000000000
PSB | CANDIDATO | MOACY DE OLIVEIRA MONTEIRO | 20574665000116,116,0.00000000000000000000
PV | CANDIDATO | JOSE PEDRO FERREIRA GUIMARAES | 20572278000140,687,0.00000000000000000000
PSDC | CANDIDATO | ADÃO MATOZO | 20580941000159,543,0.00000000000000000000
PSOL | CANDIDATO | LUIZ FELIPE BERGMANN | 20559414000162,837,0.00000000000000000000
PV | CANDIDATO | MARCELO ELIAS ROQUE | 20573405000126,18273,0.00000000000000000000
PSDC | CANDIDATO | AMAURI DE JESUS PEREIRA | 20576689000104,3581,0.00000000000000000000
DEM | CANDIDATO | SERGIO LUIS BELICH | 20573042000129,6510,0.00000000000000000000
PT | CANDIDATO | ASSIS MIGUEL DO COUTO | 20571678000131,76116,0.00000000000000000000
PSB | CANDIDATO | SANDRO ANTONIO OLTRAMARI | 20573099000128,569,0.00000000000000000000
PV | CANDIDATO | ALMEDES MARTINS DE OLIVEIRA | 20569707000120,330,0.00000000000000000000
PDT | CANDIDATO | ROGERIO UMBERTO DE ANDRADE | 20577563000154,691,0.00000000000000000000
PDT | CANDIDATO | SERGIO CARLOS EMPINOTTI | 20574200000165,2906,0.00000000000000000000
PSOL | CANDIDATO | MARCELO PEREIRA MACHADO | 20559108000126,959,0.00000000000000000000
PSB | CANDIDATO | RAFAEL FELIPE LUCAS | 20573913000104,11235,0.00000000000000000000
PSB | CANDIDATO | THIAGO DA SILVA DE JESUS | 20569613000151,3179,0.00000000000000000000
PHS | CANDIDATO | EVANGELISTA PEREIRA DA SILVA | 20576907000100,12935,0.00000000000000000000
PV | CANDIDATO | JOSIANE DE FATIMA OSSOWSKI RONCHETTI | 20573476000129,177,0.00000000000000000000
PSC | CANDIDATO | TIAGO BACCIN | 20564380000102,5902,0.00000000000000000000
PV | CANDIDATO | MANOEL CARLOS MENDES DA SILVA JUNIOR | 20571500000190,314,0.00000000000000000000
PSDC | CANDIDATO | ANDERSON RAMALHO DOS SANTOS | 20580245000142,683,0.00000000000000000000
PV | CANDIDATO | MAURI MIGUEL | 20571091000122,648,0.00000000000000000000
PSC | CANDIDATO | CLAUDINEI MESSIAS LEBEDIEFF | 20573311000157,2972,0.00000000000000000000
PSB | CANDIDATO | MARIA CIRLEIDE DA SILVA | 20574245000130,578,0.00000000000000000000
