PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.14466403162055335718
PMDB | CANDIDATO | ROBERTO REQUIAO DE MELLO E SILVA | 20569641000179,1634316,0.03003952569169960826
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.02204655248133509035
PTC | CANDIDATO | TULIO MARCELO DENIG BANDEIRA | 20581973000179,13700,0.00263504611330698298
PSOL | CANDIDATO | BERNARDO SEIXAS PILOTTO | 20559154000125,35327,0.00122968818620992535
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00114185331576635942
PRP | CANDIDATO | OGIER ALBERGE BUCHI | 20576334000115,50446,0.00096618357487922714
PSTU | CANDIDATO | RODRIGO TOMAZINI DIAS | 20576434000141,5726,0.00008783487044356610
