PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.11172595520421607640
PMDB | CANDIDATO | ROBERTO REQUIAO DE MELLO E SILVA | 20569641000179,1634316,0.01721563460693895445
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.01431708388230127499
PSOL | CANDIDATO | BERNARDO SEIXAS PILOTTO | 20559154000125,35327,0.00114185331576635942
PTC | CANDIDATO | TULIO MARCELO DENIG BANDEIRA | 20581973000179,13700,0.00079051383399209496
PRP | CANDIDATO | OGIER ALBERGE BUCHI | 20576334000115,50446,0.00079051383399209496
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00061484409310496267
PSTU | CANDIDATO | RODRIGO TOMAZINI DIAS | 20576434000141,5726,0.00008783487044356610
