PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.36827473371656427314
PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.00001784932215921977
PMDB | CANDIDATO | ROBERTO REQUIAO DE MELLO E SILVA | 20569641000179,1634316,0.00000000009491574887
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00000000000000000520
PRP | CANDIDATO | OGIER ALBERGE BUCHI | 20576334000115,50446,-0.00000000000000000043
PTC | CANDIDATO | TULIO MARCELO DENIG BANDEIRA | 20581973000179,13700,-0.00000000000000000173
PSOL | CANDIDATO | BERNARDO SEIXAS PILOTTO | 20559154000125,35327,-0.00000000000000000347
PSTU | CANDIDATO | RODRIGO TOMAZINI DIAS | 20576434000141,5726,-0.00000000000000000520
