PT | CANDIDATO | ROBERTO FERNANDES DA SILVA | 20576857000161,1359,0.00374237060031040909
PT | CANDIDATO | ANTONIO ROSNEY CARNEIRO | 20572987000126,1057,0.00357005651949196187
PC do B | CANDIDATO | RAFAELA MASCARENHAS ROCHA | 20576204000182,211,0.00349482079406419292
PTN | CANDIDATO | OSCAR MOREIRA | 20605161000116,0,0.00346791671707176279
PTN | CANDIDATO | ELISEU RIBEIRO DA SILVA | 20577039000183,1264,0.00341625354783278799
PTN | CANDIDATO | PAULO CESAR CHAVES FERREIRA | 20604100000134,444,0.00341625354783278712
PTN | CANDIDATO | ANA DELANE SZMIDT | 20576916000100,104,0.00341625354783278712
PTN | CANDIDATO | MARIA APARECIDA DE BONFIM | 20604082000190,210,0.00341625354783278625
PTN | CANDIDATO | MARLENE ANTUNES CASAGRANDE MORAIS | 20576093000104,508,0.00341625354783278538
PTN | CANDIDATO | THATIANA BANNACH | 20604087000113,3,0.00341625354783278452
PTN | CANDIDATO | IVONE DE JESUS SOARES | 20632379000160,76,0.00341625354783278365
PTN | CANDIDATO | MARI LILIAN DA CRUZ | 20604156000199,225,0.00341625354783278365
PTN | CANDIDATO | PAULO CESAR BUENO | 20579164000122,1000,0.00341625354783278365
PTN | CANDIDATO | ANDREIA CRISTINA DA SILVA ALVES | 20576166000168,148,0.00341625354783278278
PTN | CANDIDATO | SANDRA BERTIPAGLIA | 20604139000151,656,0.00341625354783278278
PTN | CANDIDATO | SÉRGIO COSTA XAVIER | 20614217000107,96,0.00341625354783278278
PTN | CANDIDATO | LUIZ CAMARA RAMOS | 20576692000128,94,0.00341625354783278235
PTN | CANDIDATO | ALCENI VIEIRA DOS SANTOS | 20576891000136,622,0.00341625354783278191
PTN | CANDIDATO | DIRCEU RAMOS | 20604121000150,462,0.00341625354783278191
PTN | CANDIDATO | APARECIDO NUNES FLORENCIO | 20604086000179,327,0.00341625354783278191
PTN | CANDIDATO | EZAIAS JONATAS LEMOS | 20604155000144,506,0.00341625354783278148
PTN | CANDIDATO | MARCOS MANOEL DA SILVA | 20579620000134,506,0.00341625354783278018
PTN | CANDIDATO | ILSON APARECIDO ESTEFANI | 20571365000183,664,0.00341625354783278018
PTN | CANDIDATO | SIMONE ANTUNES SIMÕES | 20637451000141,157,0.00341625354783278018
