PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.14457619675010979776
PMDB | CANDIDATO | ROBERTO REQUIAO DE MELLO E SILVA | 20569641000179,1634316,0.02995169082125604190
PT | CANDIDATO | GLEISI HELENA HOFFMANN | 20559538000148,881857,0.02204655248133509035
PSOL | CANDIDATO | BERNARDO SEIXAS PILOTTO | 20559154000125,35327,0.00122968818620992535
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00114185331576635942
PRP | CANDIDATO | OGIER ALBERGE BUCHI | 20576334000115,50446,0.00087834870443566099
PSTU | CANDIDATO | RODRIGO TOMAZINI DIAS | 20576434000141,5726,0.00008783487044356610
