PPS | CANDIDATO | ALDAIR TARCISIO RIZZI | 20570515000134,5010,0.00741123429224320538
PSDC | CANDIDATO | JOSÉ CARLOS CHICARELLI | 20581731000185,8001,0.00122968818620992535
PSC | CANDIDATO | NELSON PADOVANI | 20569187000156,75519,0.00122968818620992535
PV | CANDIDATO | MARIO HITOSHI NETO TAKAHASHI | 20569239000194,12634,0.00070267896354852882
PRB | CANDIDATO | BERNARDINO BARRETO DE OLIVEIRA | 20574479000187,59152,0.00061484409310496267
PPL | CANDIDATO | CLAIR DA FLORA MARTINS | 20570449000100,3957,0.00052700922266139653
PRTB | CANDIDATO | GEONISIO CESAR MARINHO | 20571315000104,7303,0.00052700922266139653
PSDC | CANDIDATO | LUIZ ADÃO MARQUES | 20580679000142,14870,0.00035133948177426441
PSL | CANDIDATO | DIRCEU MOREIRA CARRIEL | 20573013000167,16842,0.00035133948177426435
PMDB | CANDIDATO | ANDRE ZACHAROW | 20570113000130,19268,0.00028107158541941155
PMDB | CANDIDATO | LUIZ CLAUDIO ROMANELLI | 20571112000100,60298,0.00027448397013614406
PSC | CANDIDATO | HIDEKAZU TAKAYAMA | 20567222000106,162952,0.00027448397013614406
PSB | CANDIDATO | JOSÉ GILBERTO DO CARMO ALVES RIBEIRO | 20572131000150,76110,0.00026350461133069827
PTB | CANDIDATO | EFRAIM BUENO DE MORAES | 20576678000124,24910,0.00026350461133069827
PHS | CANDIDATO | DIEGO ALEXSANDER GONÇALO PAULA GARCIA | 20576181000106,61063,0.00026350461133069827
PT | CANDIDATO | ANTONIO TADEU VENERI | 20609557000131,42206,0.00019762845849802371
PTB | CANDIDATO | ALEX CANZIANI SILVEIRA | 20576507000103,187475,0.00018298931342409605
PSDC | CANDIDATO | AMADEU ALVES DE OLIVEIRA FILHO | 20576524000132,674,0.00017566974088713220
SD | CANDIDATO | NELSON SILVA DE SOUZA | 20573486000164,0,0.00017566974088713220
PV | CANDIDATO | JOAO CARLOS BARBIERO | 20572666000121,19555,0.00017566974088713220
PSB | CANDIDATO | RUI KIYOSHI HARA | 20571237000130,19039,0.00017566974088713220
DEM | CANDIDATO | PLAUTO MIRÓ GUIMARÃES FILHO | 20572133000140,63959,0.00017566974088713220
PSDB | CANDIDATO | LUIZ CARLOS JORGE HAULY | 20569936000145,86439,0.00017566974088713220
PSC | CANDIDATO | EVANDRO JOSE DA CRUZ ARAUJO | 20570327000106,23233,0.00015810276679841895
PTB | CANDIDATO | CARLOS ROBERTO FRISOLI | 20576768000115,9756,0.00013175230566534913
PSDB | CANDIDATO | JOSÉ FRANCISCO BUHRER | 20571486000125,50757,0.00011711316059142147
PTB | CANDIDATO | PIETRO ARNAUD SANTOS DA SILVA | 20576172000115,5058,0.00011711316059142147
SD | CANDIDATO | LUIS FELIPE BONATTO FRANCISCHINI | 20574098000106,35842,0.00008783487044356610
PSB | CANDIDATO | LEOPOLDO COSTA MEYER | 20574179000106,59974,0.00008783487044356610
PSOL | CANDIDATO | MARCEL ACÁCIO DE JESUS CHERUBIM | 20559462000150,521,0.00008783487044356610
